,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Traditional Layered French Croissants,23.0,213,45.0,0.7,55.0,1.0,7.0,2.0,51.0,60.0,3.2,4.35294103622437,190997/traditional-layered-french-croissants/,french,9.0,140.0,2.0,0.0,Traditional Layered French Croissants,18.8,14.0,456IU,0.0,0.0
Cali's Sinful Creme Brulee,111.0,680,419.0,1.2,38.0,1.0,34.0,2.0,102.0,192.0,6.6,4.59154939651489,83905/calis-sinful-creme-brulee/,french,33.0,58.0,37.0,0.0,Cali's Sinful Creme Brulee,42.6,55.8,2049IU,0.0,1.0
Beef Bourguignon II,112.0,583,125.0,4.1,57.0,4.0,57.0,10.0,571.0,730.0,32.2,4.44901323318481,16905/beef-bourguignon-ii/,french,15.0,1333.0,7.0,0.0,Beef Bourguignon II,21.9,31.0,5701IU,1.0,13.0
Chef John's Creme Fraiche ,11.0,52,20.0,0.0,1.0,0.0,1.0,0.0,291.0,13.0,0.4,4.850746154785161,222387/chef-johns-creme-fraiche/,french,3.0,7.0,0.0,0.0,Chef John's Creme Fraiche ,0.5,5.5,219IU,0.0,0.0
Chef John's Coq Au Vin,27.0,337,82.0,0.8,21.0,2.0,35.0,11.0,1000.0,473.0,24.4,4.85213994979858,239230/chef-johns-coq-au-vin/,french,6.0,582.0,2.0,0.0,Chef John's Coq Au Vin,7.9,18.0,380IU,0.0,4.0
Chicken Cordon Bleu II,272.0,584,195.0,0.3,17.0,1.0,55.0,23.0,9000.0,473.0,41.6,4.777490615844731,8669/chicken-cordon-bleu-ii/,french,24.0,655.0,1.0,0.0,Chicken Cordon Bleu II,7.7,40.9,1399IU,1.0,12.0
Creamy Au Gratin Potatoes,484.0,499,77.0,4.4,78.0,2.0,77.0,7.0,7000.0,1184.0,19.8,4.5263776779174805,15925/creamy-au-gratin-potatoes/,french,16.0,683.0,9.0,0.0,Creamy Au Gratin Potatoes,49.3,25.4,939IU,1.0,19.0
Basic Crepes,56.0,216,111.0,0.8,71.0,2.0,14.0,3.0,6000.0,115.0,7.4,4.63456344604492,16383/basic-crepes/,french,5.0,235.0,2.0,0.0,Basic Crepes,25.5,9.2,357IU,0.0,0.0
Chicken Cordon Bleu I,379.0,419,124.0,0.8,25.0,2.0,60.0,25.0,4000.0,457.0,46.1,4.61169767379761,8495/chicken-cordon-bleu-i/,french,10.0,932.0,1.0,0.0,Chicken Cordon Bleu I,12.6,19.4,407IU,1.0,12.0
French Baguettes,7.0,113,17.0,0.8,66.0,1.0,8.0,3.0,2000.0,40.0,3.8,4.7673544883728,7028/french-baguettes/,french,0.0,196.0,1.0,0.0,French Baguettes,22.0,0.9,21IU,0.0,0.0
